Fd,Family,Type,Laddr,Raddr,Status,Pid,FamilyString,Timestamp,TypeString
0,2,2,"{
 ""IP"": ""0.0.0.0"",
 ""Port"": 3702
}","{
 ""IP"": """",
 ""Port"": 0
}",,3080,IPv4,2026-02-10T18:31:04Z,UDP
0,2,2,"{
 ""IP"": ""0.0.0.0"",
 ""Port"": 3702
}","{
 ""IP"": """",
 ""Port"": 0
}",,3080,IPv4,2026-02-10T18:31:04Z,UDP
0,2,2,"{
 ""IP"": ""0.0.0.0"",
 ""Port"": 5353
}","{
 ""IP"": """",
 ""Port"": 0
}",,2812,IPv4,2026-02-10T18:37:22Z,UDP
0,2,2,"{
 ""IP"": ""0.0.0.0"",
 ""Port"": 5353
}","{
 ""IP"": """",
 ""Port"": 0
}",,1428,IPv4,2026-02-10T18:31:02Z,UDP
0,2,2,"{
 ""IP"": ""0.0.0.0"",
 ""Port"": 5355
}","{
 ""IP"": """",
 ""Port"": 0
}",,1428,IPv4,2026-02-10T18:31:02Z,UDP
0,2,2,"{
 ""IP"": ""0.0.0.0"",
 ""Port"": 50949
}","{
 ""IP"": """",
 ""Port"": 0
}",,3080,IPv4,2026-02-10T18:31:04Z,UDP
0,2,2,"{
 ""IP"": ""127.0.0.1"",
 ""Port"": 65406
}","{
 ""IP"": """",
 ""Port"": 0
}",,804,IPv4,2026-02-10T18:31:01Z,UDP
0,2,2,"{
 ""IP"": ""0.0.0.0"",
 ""Port"": 5353
}","{
 ""IP"": """",
 ""Port"": 0
}",,2812,IPv4,2026-02-10T18:37:22Z,UDP
0,2,2,"{
 ""IP"": ""0.0.0.0"",
 ""Port"": 50948
}","{
 ""IP"": """",
 ""Port"": 0
}",,1428,IPv4,2026-02-10T18:31:03Z,UDP
0,2,2,"{
 ""IP"": ""0.0.0.0"",
 ""Port"": 54286
}","{
 ""IP"": """",
 ""Port"": 0
}",,1428,IPv4,2026-02-10T18:37:19Z,UDP
0,23,2,"{
 ""IP"": ""::"",
 ""Port"": 123
}","{
 ""IP"": """",
 ""Port"": 0
}",,2184,IPv6,2026-02-10T18:31:02Z,UDP
0,23,2,"{
 ""IP"": ""::"",
 ""Port"": 3389
}","{
 ""IP"": """",
 ""Port"": 0
}",,632,IPv6,2026-02-10T18:30:59Z,UDP
0,23,2,"{
 ""IP"": ""::"",
 ""Port"": 3702
}","{
 ""IP"": """",
 ""Port"": 0
}",,3080,IPv6,2026-02-10T18:31:04Z,UDP
0,23,2,"{
 ""IP"": ""::"",
 ""Port"": 3702
}","{
 ""IP"": """",
 ""Port"": 0
}",,3080,IPv6,2026-02-10T18:31:04Z,UDP
0,23,2,"{
 ""IP"": ""::"",
 ""Port"": 5353
}","{
 ""IP"": """",
 ""Port"": 0
}",,2812,IPv6,2026-02-10T18:37:22Z,UDP
0,23,2,"{
 ""IP"": ""::"",
 ""Port"": 5353
}","{
 ""IP"": """",
 ""Port"": 0
}",,1428,IPv6,2026-02-10T18:31:02Z,UDP
0,23,2,"{
 ""IP"": ""::"",
 ""Port"": 5355
}","{
 ""IP"": """",
 ""Port"": 0
}",,1428,IPv6,2026-02-10T18:31:02Z,UDP
0,23,2,"{
 ""IP"": ""::"",
 ""Port"": 50948
}","{
 ""IP"": """",
 ""Port"": 0
}",,1428,IPv6,2026-02-10T18:31:03Z,UDP
0,23,2,"{
 ""IP"": ""::"",
 ""Port"": 50950
}","{
 ""IP"": """",
 ""Port"": 0
}",,3080,IPv6,2026-02-10T18:31:04Z,UDP
0,23,2,"{
 ""IP"": ""::"",
 ""Port"": 54286
}","{
 ""IP"": """",
 ""Port"": 0
}",,1428,IPv6,2026-02-10T18:37:19Z,UDP
