inode,State,uid,ProcessInfo,LocalAddr,LocalPort,RemoteAddr,RemotePort
" 778886",Established," 1000","{
 ""Pid"": 66759,
 ""Command"": ""firefox\n"",
 ""CommandLine"": ""/snap/firefox/7836/usr/lib/firefox/firefox\u0000"",
 ""Filename"": ""socket:[778886]"",
 ""Type"": ""socket"",
 ""Inode"": ""778886""
}",192.168.52.138,47794,18.239.149.171,443
" 779002",Established," 1000","{
 ""Pid"": 66759,
 ""Command"": ""firefox\n"",
 ""CommandLine"": ""/snap/firefox/7836/usr/lib/firefox/firefox\u0000"",
 ""Filename"": ""socket:[779002]"",
 ""Type"": ""socket"",
 ""Inode"": ""779002""
}",192.168.52.138,47816,18.239.149.171,443
" 790556",Established," 1000","{
 ""Pid"": 66759,
 ""Command"": ""firefox\n"",
 ""CommandLine"": ""/snap/firefox/7836/usr/lib/firefox/firefox\u0000"",
 ""Filename"": ""socket:[790556]"",
 ""Type"": ""socket"",
 ""Inode"": ""790556""
}",192.168.52.138,52734,104.26.14.135,443
" 776088",Established," 1000","{
 ""Pid"": 66759,
 ""Command"": ""firefox\n"",
 ""CommandLine"": ""/snap/firefox/7836/usr/lib/firefox/firefox\u0000"",
 ""Filename"": ""socket:[776088]"",
 ""Type"": ""socket"",
 ""Inode"": ""776088""
}",192.168.52.138,47956,18.239.149.171,443
" 776100",Established," 1000","{
 ""Pid"": 66759,
 ""Command"": ""firefox\n"",
 ""CommandLine"": ""/snap/firefox/7836/usr/lib/firefox/firefox\u0000"",
 ""Filename"": ""socket:[776100]"",
 ""Type"": ""socket"",
 ""Inode"": ""776100""
}",192.168.52.138,47972,18.239.149.171,443
" 778329",Established," 1000","{
 ""Pid"": 66759,
 ""Command"": ""firefox\n"",
 ""CommandLine"": ""/snap/firefox/7836/usr/lib/firefox/firefox\u0000"",
 ""Filename"": ""socket:[778329]"",
 ""Type"": ""socket"",
 ""Inode"": ""778329""
}",192.168.52.138,45976,18.67.195.28,443
" 778331",Established," 1000","{
 ""Pid"": 66759,
 ""Command"": ""firefox\n"",
 ""CommandLine"": ""/snap/firefox/7836/usr/lib/firefox/firefox\u0000"",
 ""Filename"": ""socket:[778331]"",
 ""Type"": ""socket"",
 ""Inode"": ""778331""
}",192.168.52.138,45982,18.67.195.28,443
" 777984",Established," 1000","{
 ""Pid"": 66759,
 ""Command"": ""firefox\n"",
 ""CommandLine"": ""/snap/firefox/7836/usr/lib/firefox/firefox\u0000"",
 ""Filename"": ""socket:[777984]"",
 ""Type"": ""socket"",
 ""Inode"": ""777984""
}",127.0.0.1,38674,127.0.0.1,8889
" 785436",Established," 1000","{
 ""Pid"": 66759,
 ""Command"": ""firefox\n"",
 ""CommandLine"": ""/snap/firefox/7836/usr/lib/firefox/firefox\u0000"",
 ""Filename"": ""socket:[785436]"",
 ""Type"": ""socket"",
 ""Inode"": ""785436""
}",192.168.52.138,55536,104.16.55.62,443
" 789123",Established," 1000","{
 ""Pid"": 66759,
 ""Command"": ""firefox\n"",
 ""CommandLine"": ""/snap/firefox/7836/usr/lib/firefox/firefox\u0000"",
 ""Filename"": ""socket:[789123]"",
 ""Type"": ""socket"",
 ""Inode"": ""789123""
}",192.168.52.138,39570,35.213.188.76,443
" 785438",Established," 1000","{
 ""Pid"": 66759,
 ""Command"": ""firefox\n"",
 ""CommandLine"": ""/snap/firefox/7836/usr/lib/firefox/firefox\u0000"",
 ""Filename"": ""socket:[785438]"",
 ""Type"": ""socket"",
 ""Inode"": ""785438""
}",192.168.52.138,41270,151.101.1.44,443
" 775912",Established," 1000","{
 ""Pid"": 66759,
 ""Command"": ""firefox\n"",
 ""CommandLine"": ""/snap/firefox/7836/usr/lib/firefox/firefox\u0000"",
 ""Filename"": ""socket:[775912]"",
 ""Type"": ""socket"",
 ""Inode"": ""775912""
}",192.168.52.138,55752,18.66.41.86,443
" 783038",Established," 1000","{
 ""Pid"": 66759,
 ""Command"": ""firefox\n"",
 ""CommandLine"": ""/snap/firefox/7836/usr/lib/firefox/firefox\u0000"",
 ""Filename"": ""socket:[783038]"",
 ""Type"": ""socket"",
 ""Inode"": ""783038""
}",192.168.52.138,45696,18.66.41.90,443
" 789657",Established," 1000","{
 ""Pid"": 66759,
 ""Command"": ""firefox\n"",
 ""CommandLine"": ""/snap/firefox/7836/usr/lib/firefox/firefox\u0000"",
 ""Filename"": ""socket:[789657]"",
 ""Type"": ""socket"",
 ""Inode"": ""789657""
}",192.168.52.138,40764,52.26.17.96,443
" 781380",Established," 1000","{
 ""Pid"": 66759,
 ""Command"": ""firefox\n"",
 ""CommandLine"": ""/snap/firefox/7836/usr/lib/firefox/firefox\u0000"",
 ""Filename"": ""socket:[781380]"",
 ""Type"": ""socket"",
 ""Inode"": ""781380""
}",192.168.52.138,39580,18.239.115.149,443
" 779977",Established," 1000","{
 ""Pid"": 66759,
 ""Command"": ""firefox\n"",
 ""CommandLine"": ""/snap/firefox/7836/usr/lib/firefox/firefox\u0000"",
 ""Filename"": ""socket:[779977]"",
 ""Type"": ""socket"",
 ""Inode"": ""779977""
}",192.168.52.138,43300,18.172.64.85,443
" 784791",Established," 1000","{
 ""Pid"": 66759,
 ""Command"": ""firefox\n"",
 ""CommandLine"": ""/snap/firefox/7836/usr/lib/firefox/firefox\u0000"",
 ""Filename"": ""socket:[784791]"",
 ""Type"": ""socket"",
 ""Inode"": ""784791""
}",192.168.52.138,50728,35.212.17.176,443
" 776249",Established," 1000","{
 ""Pid"": 66759,
 ""Command"": ""firefox\n"",
 ""CommandLine"": ""/snap/firefox/7836/usr/lib/firefox/firefox\u0000"",
 ""Filename"": ""socket:[776249]"",
 ""Type"": ""socket"",
 ""Inode"": ""776249""
}",192.168.52.138,46900,34.107.243.93,443
" 776080",Established," 1000","{
 ""Pid"": 66759,
 ""Command"": ""firefox\n"",
 ""CommandLine"": ""/snap/firefox/7836/usr/lib/firefox/firefox\u0000"",
 ""Filename"": ""socket:[776080]"",
 ""Type"": ""socket"",
 ""Inode"": ""776080""
}",192.168.52.138,55330,13.227.249.19,443
" 761982",Established," 0","{
 ""Pid"": 67858,
 ""Command"": ""velociraptor\n"",
 ""CommandLine"": ""./velociraptor\u0000--config\u0000/tmp/gui_datastore/server.config.yaml\u0000gui\u0000"",
 ""Filename"": ""socket:[761982]"",
 ""Type"": ""socket"",
 ""Inode"": ""761982""
}",127.0.0.1,49640,127.0.0.1,8001
" 785434",Established," 1000","{
 ""Pid"": 66759,
 ""Command"": ""firefox\n"",
 ""CommandLine"": ""/snap/firefox/7836/usr/lib/firefox/firefox\u0000"",
 ""Filename"": ""socket:[785434]"",
 ""Type"": ""socket"",
 ""Inode"": ""785434""
}",192.168.52.138,37304,38.134.110.236,443
